id,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,name
104660,11.0,5.0,168.0,97.0,66.0,38.0,26.0,10.0,17.0,Sergiy Stakhovsky
126952,2.0,3.0,63.0,35.0,21.0,13.0,12.0,1.0,7.0,Soon Woo Kwon
104527,16.0,4.0,244.0,140.0,100.0,59.0,38.0,11.0,17.0,Stan Wawrinka
105882,8.0,2.0,83.0,56.0,33.0,8.0,14.0,4.0,12.0,Stefano Travaglia
126774,46.0,17.0,506.0,320.0,247.0,112.0,90.0,8.0,17.0,Stefanos Tsitsipas
111576,2.0,2.0,98.0,76.0,45.0,8.0,14.0,8.0,14.0,Sumit Nagal
106121,4.0,4.0,129.0,83.0,62.0,18.0,17.0,6.0,8.0,Taro Daniel
126203,53.0,12.0,495.0,301.0,220.0,107.0,72.0,30.0,39.0,Taylor Fritz
105815,12.0,5.0,99.0,53.0,34.0,18.0,13.0,6.0,12.0,Tennys Sandgren
106423,42.0,10.0,269.0,170.0,127.0,51.0,37.0,18.0,23.0,Thanasi Kokkinakis
106329,17.0,2.0,195.0,132.0,93.0,42.0,30.0,9.0,12.0,Thiago Monteiro
207830,20.0,3.0,220.0,142.0,96.0,44.0,35.0,9.0,15.0,Tomas Machac
126205,15.0,5.0,218.0,144.0,100.0,37.0,35.0,13.0,21.0,Tommy Paul
200005,41.0,4.0,291.0,199.0,157.0,49.0,46.0,12.0,15.0,Ugo Humbert
105577,6.0,3.0,78.0,45.0,32.0,12.0,13.0,4.0,9.0,Vasek Pospisil
104678,16.0,3.0,178.0,122.0,79.0,32.0,28.0,5.0,11.0,Viktor Troicki
105870,7.0,5.0,107.0,76.0,44.0,16.0,14.0,8.0,13.0,Yannick Hanfmann
106034,9.0,2.0,120.0,76.0,53.0,27.0,20.0,8.0,11.0,Yasutaka Uchiyama
104229,3.0,4.0,92.0,65.0,43.0,14.0,15.0,5.0,8.0,Yen Hsun Lu
106415,4.0,1.0,116.0,65.0,32.0,23.0,16.0,10.0,21.0,Yoshihito Nishioka
105216,6.0,2.0,65.0,35.0,25.0,13.0,10.0,3.0,7.0,Yuichi Sugita
